L1,Subject,Region,Word,Time,Sentence,Case,Order,Reflexive,Predicate,Binding
Japanese,1,1,???,464,49,R,23,Simple S1,Simple,FALSE
Japanese,1,2,???,389,49,R,23,Simple S1,Simple,FALSE
Japanese,1,3,??????,409,49,R,23,Simple S1,Simple,FALSE
Japanese,1,4,???,378,49,R,23,Simple S1,Simple,FALSE
Japanese,1,5,?,650,49,R,23,Simple S1,Simple,FALSE
Japanese,1,6,TF,764,49,R,23,Simple S1,Simple,FALSE
Japanese,2,1,???,425,49,R,26,Simple S1,Simple,FALSE
Japanese,2,2,???,369,49,R,26,Simple S1,Simple,FALSE
Japanese,2,3,??????,767,49,R,26,Simple S1,Simple,FALSE
Japanese,2,4,???,288,49,R,26,Simple S1,Simple,FALSE
Japanese,2,5,?,239,49,R,26,Simple S1,Simple,FALSE
Japanese,2,6,TF,1146,49,R,26,Simple S1,Simple,FALSE
Japanese,3,1,???,353,49,R,32,Simple S1,Simple,FALSE
Japanese,3,2,???,276,49,R,32,Simple S1,Simple,FALSE
Japanese,3,3,??????,246,49,R,32,Simple S1,Simple,FALSE
Japanese,3,4,???,524,49,R,32,Simple S1,Simple,FALSE
Japanese,3,5,?,286,49,R,32,Simple S1,Simple,FALSE
Japanese,3,6,TF,891,49,R,32,Simple S1,Simple,FALSE
Japanese,4,1,???,473,49,R,39,Simple S1,Simple,FALSE
Japanese,4,2,???,416,49,R,39,Simple S1,Simple,FALSE
Japanese,4,3,??????,624,49,R,39,Simple S1,Simple,FALSE
Japanese,4,4,???,316,49,R,39,Simple S1,Simple,FALSE
Japanese,4,5,?,246,49,R,39,Simple S1,Simple,FALSE
Japanese,4,6,TF,563,49,R,39,Simple S1,Simple,FALSE
Japanese,5,1,???,591,49,R,41,Simple S1,Simple,FALSE
Japanese,5,2,???,474,49,R,41,Simple S1,Simple,FALSE
Japanese,5,3,??????,663,49,R,41,Simple S1,Simple,FALSE
Japanese,5,4,???,325,49,R,41,Simple S1,Simple,FALSE
Japanese,5,5,?,306,49,R,41,Simple S1,Simple,FALSE
Japanese,5,6,TF,1447,49,R,41,Simple S1,Simple,FALSE
Japanese,6,1,???,436,49,R,39,Simple S1,Simple,FALSE
Japanese,6,2,???,468,49,R,39,Simple S1,Simple,FALSE
Japanese,6,3,??????,1669,49,R,39,Simple S1,Simple,FALSE
Japanese,6,4,???,358,49,R,39,Simple S1,Simple,FALSE
Japanese,6,5,?,368,49,R,39,Simple S1,Simple,FALSE
Japanese,6,6,TF,2156,49,R,39,Simple S1,Simple,FALSE
Japanese,7,1,???,343,49,R,52,Simple S1,Simple,FALSE
Japanese,7,2,???,376,49,R,52,Simple S1,Simple,FALSE
Japanese,7,3,??????,335,49,R,52,Simple S1,Simple,FALSE
Japanese,7,4,???,435,49,R,52,Simple S1,Simple,FALSE
Japanese,7,5,?,237,49,R,52,Simple S1,Simple,FALSE
Japanese,7,6,TF,384,49,R,52,Simple S1,Simple,FALSE
Japanese,8,1,???,685,49,R,54,Simple S1,Simple,FALSE
Japanese,8,2,???,706,49,R,54,Simple S1,Simple,FALSE
Japanese,8,3,??????,607,49,R,54,Simple S1,Simple,FALSE
Japanese,8,4,???,287,49,R,54,Simple S1,Simple,FALSE
Japanese,8,5,?,387,49,R,54,Simple S1,Simple,FALSE
Japanese,8,6,TF,1395,49,R,54,Simple S1,Simple,FALSE
Japanese,9,1,???,478,49,R,5,Simple S1,Simple,FALSE
Japanese,9,2,???,356,49,R,5,Simple S1,Simple,FALSE
Japanese,9,3,??????,378,49,R,5,Simple S1,Simple,FALSE
Japanese,9,4,???,368,49,R,5,Simple S1,Simple,FALSE
Japanese,9,5,?,318,49,R,5,Simple S1,Simple,FALSE
Japanese,9,6,TF,347,49,R,5,Simple S1,Simple,FALSE
Japanese,10,1,???,611,49,R,35,Simple S1,Simple,FALSE
Japanese,10,2,???,554,49,R,35,Simple S1,Simple,FALSE
